county_id,conservancy_id,county_name,created_at,updated_at
1,1,KIAMBU,,
2,1,KIRINYAGA,,
3,1,LAIKIPIA,,
4,1,MURANGA,,
5,1,NYANDARUA,,
6,1,NYERI,,
7,2,KILIFI,,
8,2,KWALE,,
9,2,LAMU,,
10,2,MOMBASA,,
11,2,TAITA TAVETA,,
12,2,TANA RIVER,,
13,3,EMBU,,
14,3,KITUI,,
15,3,MACHAKOS,,
16,3,MAKUENI,,
17,3,MERU,,
18,3,THARAKA NITHI,,
19,4,ISIOLO,,
20,4,MARSABIT,,
21,4,SAMBURU,,
22,5,HQ,,
23,6,KFC,,
24,7,BARINGO,,
25,7,BOMET,,
26,7,KERICHO,,
27,7,NAKURU,,
28,7,NAROK,,
29,8,KAJIADO,,
30,8,NAIROBI,,
31,9,GARISSA,,
32,9,MANDERA,,
33,9,WAJIR,,
34,10,ELGEYO MARAKWET,,
35,10,NANDI,,
36,10,TRANS NZOIA,,
37,10,TURKANA,,
38,10,UASIN GISHU,,
39,10,WEST POKOT,,
40,11,Homa Bay,,
41,11,KISII,,
42,11,KISUMU,,
43,11,MIGORI,,
44,11,NYAMIRA,,
45,11,SIAYA,,
46,12,BUNGOMA,,
47,12,BUSIA,,
48,12,KAKAMEGA,,
49,12,VIHIGA,,
